t,ave,sd,equib
1,1,0,0.9527692569068709
2,0.9978476546617643,0.15114044607371022,0.9527692569068709
3,0.9897674179774278,0.17636769035619726,0.9527692569068709
4,0.9804342755090961,0.18732665052778324,0.9527692569068709
5,0.9725098422590438,0.1920859127913357,0.9527692569068709
6,0.9706085008506423,0.19535655351833442,0.9527692569068709
7,0.9680861572304954,0.19513632156140276,0.9527692569068709
8,0.9663102379085953,0.19628757429701682,0.9527692569068709
9,0.96432624256667,0.19931618689321345,0.9527692569068709
10,0.9610996230297661,0.19747899739683872,0.9527692569068709
11,0.9612219459563601,0.1996194380477902,0.9527692569068709
12,0.9604143113086167,0.19903355089772828,0.9527692569068709
13,0.9584333743606502,0.1997084685207652,0.9527692569068709
14,0.9577447597350751,0.19990341461510944,0.9527692569068709
15,0.9582247376960138,0.1999829643115996,0.9527692569068709
16,0.9594889949547304,0.20040652589201616,0.9527692569068709
17,0.9596700637156612,0.20312308427437356,0.9527692569068709
18,0.9592345093734832,0.20290179321505386,0.9527692569068709
19,0.9569348188180691,0.2020909375779106,0.9527692569068709
20,0.956615444328956,0.20265088896690467,0.9527692569068709
21,0.9550307888101793,0.20318051702492088,0.9527692569068709
22,0.9577717257172752,0.20431065200328705,0.9527692569068709
23,0.9558083697855695,0.2037840509462008,0.9527692569068709
24,0.9562043190212127,0.20189452073724973,0.9527692569068709
25,0.9598314587231092,0.20221132768522898,0.9527692569068709
26,0.957655833354905,0.2005296438388786,0.9527692569068709
27,0.9578196801176678,0.2014390878549985,0.9527692569068709
28,0.9586773351902926,0.20316201128975322,0.9527692569068709
29,0.9585747822122035,0.20253573758157067,0.9527692569068709
30,0.9589413748227866,0.20248285698036023,0.9527692569068709
31,0.9590994639607396,0.2027764547522905,0.9527692569068709
32,0.9586046335612691,0.2016956593760633,0.9527692569068709
33,0.9600348136263894,0.2033330452135866,0.9527692569068709
34,0.9602060873697581,0.20033406750010438,0.9527692569068709
35,0.959838766166327,0.20208954537407112,0.9527692569068709
36,0.9575396868110031,0.20342098569832545,0.9527692569068709
37,0.9561309850624802,0.2003083382784446,0.9527692569068709
38,0.9592481563291835,0.20110040506882537,0.9527692569068709
39,0.9598303420925075,0.20048404123124491,0.9527692569068709
40,0.9602704794449152,0.20100342525085652,0.9527692569068709
41,0.9585294012464584,0.20171243156386334,0.9527692569068709
42,0.956401855231591,0.2008481794850522,0.9527692569068709
43,0.9576792090822427,0.20242564611459135,0.9527692569068709
44,0.9573323818069509,0.20298383983918022,0.9527692569068709
45,0.9562779846989735,0.2010145523384526,0.9527692569068709
46,0.9567840226445885,0.20090134555077518,0.9527692569068709
47,0.9567150015259103,0.20049521660672376,0.9527692569068709
48,0.9558138620507647,0.2010965900923766,0.9527692569068709
49,0.9569317615853054,0.20032405829309083,0.9527692569068709
50,0.9553412510767062,0.20106051390167964,0.9527692569068709
51,0.9578853038954954,0.20344068815959798,0.9527692569068709
52,0.9601405726524262,0.20039716510815703,0.9527692569068709
53,0.959794858716566,0.2026461832988113,0.9527692569068709
54,0.9603334971385229,0.20307063329172537,0.9527692569068709
55,0.9580565541605673,0.20187800876453382,0.9527692569068709
56,0.959027394079995,0.2010296154841579,0.9527692569068709
57,0.9567974143933319,0.2012306678217881,0.9527692569068709
58,0.9581500728637506,0.20272493386429596,0.9527692569068709
59,0.9584268045389116,0.20340629924240677,0.9527692569068709
60,0.9577287698921897,0.20119341028012847,0.9527692569068709
61,0.9582112493298904,0.2032467935471566,0.9527692569068709
62,0.9598206036921798,0.19935863461130562,0.9527692569068709
63,0.9588814924585007,0.20162006916576125,0.9527692569068709
64,0.9575626198424401,0.20160123701108734,0.9527692569068709
65,0.9589141241611591,0.2038825380739159,0.9527692569068709
66,0.9589688563386498,0.20230920921128534,0.9527692569068709
67,0.960144933953344,0.20108824684286863,0.9527692569068709
68,0.9621520128880388,0.2006930641838099,0.9527692569068709
69,0.9614891812604486,0.19841554494947622,0.9527692569068709
70,0.9593695551608933,0.20138028549572737,0.9527692569068709
71,0.958246366766685,0.20340061050009262,0.9527692569068709
72,0.9559723161271715,0.20206657625168803,0.9527692569068709
73,0.9592456091051096,0.20182480626109767,0.9527692569068709
74,0.9578342095808856,0.20346324215972775,0.9527692569068709
75,0.9569820772781038,0.20271740459528867,0.9527692569068709
76,0.9585508322568949,0.20301893751048097,0.9527692569068709
77,0.9582901917157102,0.2035308288274024,0.9527692569068709
78,0.9600351428981673,0.20521986737048456,0.9527692569068709
79,0.9570414368003601,0.20473627449185497,0.9527692569068709
80,0.9562691454723424,0.20327686174479917,0.9527692569068709
81,0.9546927405499483,0.20421444366637576,0.9527692569068709
82,0.9550068563575792,0.2018895200627812,0.9527692569068709
83,0.9575543429392799,0.2028089698035769,0.9527692569068709
84,0.9584617219572649,0.20118651210820923,0.9527692569068709
85,0.9584181579934387,0.202289240478244,0.9527692569068709
86,0.960371766058954,0.20182801893588675,0.9527692569068709
87,0.9571747066353138,0.20269382641896053,0.9527692569068709
88,0.9576185473086997,0.2041970372783707,0.9527692569068709
89,0.9555672622834139,0.2023333380933803,0.9527692569068709
90,0.9572233150362978,0.2028280659363365,0.9527692569068709
91,0.957787022949609,0.20161210975327848,0.9527692569068709
92,0.9576020774645708,0.2002381403533255,0.9527692569068709
93,0.9547608816578449,0.2021949621944311,0.9527692569068709
94,0.9537661864479589,0.20041597015738852,0.9527692569068709
95,0.954501247645826,0.201040245186682,0.9527692569068709
96,0.954192679404455,0.20379505202329684,0.9527692569068709
97,0.9596549547637907,0.20157623218836737,0.9527692569068709
98,0.9599572239351184,0.2011641751939396,0.9527692569068709
99,0.9581218303367739,0.2016825778907599,0.9527692569068709
100,0.957970282145353,0.20317800316374884,0.9527692569068709
101,0.954677534814866,0.20275951519775287,0.9527692569068709
102,0.956433278730013,0.20272739489215938,0.9527692569068709
103,0.9568392299544901,0.2027325204896118,0.9527692569068709
104,0.958574324499212,0.20290170917485825,0.9527692569068709
105,0.955870447086732,0.2028232101383997,0.9527692569068709
106,0.9572350771764719,0.2026512357536231,0.9527692569068709
107,0.9583426841817252,0.20183096292995578,0.9527692569068709
108,0.9565744690338014,0.20250630108174952,0.9527692569068709
109,0.9561550418093945,0.20269206889858213,0.9527692569068709
110,0.9583738528995512,0.2030324455057653,0.9527692569068709
111,0.9589040350277311,0.2038780217838282,0.9527692569068709
112,0.9604528339356923,0.20270869938897038,0.9527692569068709
113,0.9587415030919676,0.20161045429812557,0.9527692569068709
114,0.9594139694925392,0.2031625344190023,0.9527692569068709
115,0.9578182981734439,0.1998235588249861,0.9527692569068709
116,0.9580313780265398,0.19980843168725726,0.9527692569068709
117,0.9581277538253955,0.20163545498088173,0.9527692569068709
118,0.958916574685669,0.20231962790148988,0.9527692569068709
119,0.9568165179110816,0.201283016459731,0.9527692569068709
120,0.9576949571619491,0.2037996025724246,0.9527692569068709
121,0.9592129115021821,0.2021125618567795,0.9527692569068709
122,0.9593912993409738,0.20178065707522808,0.9527692569068709
123,0.961227405712521,0.20368360743104272,0.9527692569068709
124,0.9592657540694027,0.20283474929982725,0.9527692569068709
125,0.957882258376112,0.20065990812549467,0.9527692569068709
126,0.9574338907218848,0.1995732655169692,0.9527692569068709
127,0.9561466361517877,0.2002968461595537,0.9527692569068709
128,0.9566357012700029,0.20220949212113137,0.9527692569068709
129,0.9568474253037484,0.2023950553662455,0.9527692569068709
130,0.9587557503259517,0.20357188666660142,0.9527692569068709
131,0.9573769696527024,0.20135340148453407,0.9527692569068709
132,0.95670135851698,0.2001896240199112,0.9527692569068709
133,0.9546471297041854,0.20145238120423986,0.9527692569068709
134,0.9535282260903091,0.20146012159295046,0.9527692569068709
135,0.9562638317607973,0.2023407113414518,0.9527692569068709
136,0.9571577015437908,0.2030658712896288,0.9527692569068709
137,0.9562946920077675,0.20291251445075448,0.9527692569068709
138,0.9555543889151387,0.20333780350111041,0.9527692569068709
139,0.9558658653193399,0.20271656610268776,0.9527692569068709
140,0.9557923151871118,0.20381481297791068,0.9527692569068709
141,0.9556199135716931,0.20433786778229265,0.9527692569068709
142,0.9550670015229455,0.20344285432473674,0.9527692569068709
143,0.9561932270115618,0.20423447876889786,0.9527692569068709
144,0.9583965373314272,0.20259124749731974,0.9527692569068709
145,0.9620455147073202,0.20152451073659,0.9527692569068709
146,0.9600906639755759,0.20061339946370568,0.9527692569068709
147,0.9574027822864616,0.20311070397772701,0.9527692569068709
148,0.9567711316050679,0.20327072205445548,0.9527692569068709
149,0.9564145939636458,0.20253228646170357,0.9527692569068709
150,0.9565466564988625,0.20108086350638593,0.9527692569068709
151,0.955761192699277,0.20279440972073282,0.9527692569068709
152,0.9576690093749517,0.20397127483529592,0.9527692569068709
153,0.9563096795706738,0.2016383614737434,0.9527692569068709
154,0.9577315669692271,0.20079577397268572,0.9527692569068709
155,0.9570663244462709,0.2025712015410575,0.9527692569068709
156,0.9585683652429072,0.20206478238576958,0.9527692569068709
157,0.9593929488585937,0.20202604641084645,0.9527692569068709
158,0.9582045145463226,0.20318306702064143,0.9527692569068709
159,0.9556806669504868,0.20057830317348824,0.9527692569068709
160,0.9559158394928751,0.2026614478137107,0.9527692569068709
161,0.9567799471372637,0.20265396332972077,0.9527692569068709
162,0.957272874142214,0.2039188111139143,0.9527692569068709
163,0.9558979644624872,0.20338516912207422,0.9527692569068709
164,0.9574976870681312,0.201238603664989,0.9527692569068709
165,0.9593598205776491,0.20023975432803842,0.9527692569068709
166,0.9572813057920221,0.20162523232202534,0.9527692569068709
167,0.9578984065555597,0.2016464806676542,0.9527692569068709
168,0.9598440782766577,0.20374430133131907,0.9527692569068709
169,0.9602896077033317,0.20371250856772022,0.9527692569068709
170,0.9592130311611187,0.2048895105755826,0.9527692569068709
171,0.959426821543968,0.20527509523769416,0.9527692569068709
172,0.9596309649526518,0.20286459910518206,0.9527692569068709
173,0.9578561758175916,0.20096185774333228,0.9527692569068709
174,0.9557331638020133,0.20136603814009685,0.9527692569068709
175,0.9537319364715112,0.20139029527314614,0.9527692569068709
176,0.9528130417098064,0.20114025186171888,0.9527692569068709
177,0.9533428242176941,0.20144391317754745,0.9527692569068709
178,0.9586057139960223,0.20242363675989003,0.9527692569068709
179,0.9604571643530444,0.20345782701063478,0.9527692569068709
180,0.9617579322962286,0.20396507384386667,0.9527692569068709
181,0.9572861120743793,0.2035051126948848,0.9527692569068709
182,0.9575923774539028,0.20170611506706668,0.9527692569068709
183,0.9555559750038211,0.20303761201960907,0.9527692569068709
184,0.9556827697527795,0.20423784544105703,0.9527692569068709
185,0.9563632696652457,0.20349926677853092,0.9527692569068709
186,0.956213802781776,0.20488939064649184,0.9527692569068709
187,0.955488321851748,0.20603576896009654,0.9527692569068709
188,0.9578168619341273,0.20591570572864654,0.9527692569068709
189,0.9561867589481244,0.20383390258678,0.9527692569068709
190,0.9576648767242123,0.20242901437530547,0.9527692569068709
191,0.9597108133130511,0.20440719213861772,0.9527692569068709
192,0.9587541823758691,0.20183766487346266,0.9527692569068709
193,0.9587882574898426,0.20327274232873774,0.9527692569068709
194,0.9569455269356519,0.20202046768154466,0.9527692569068709
195,0.9560733856869383,0.19816661860582985,0.9527692569068709
196,0.9597109981411015,0.19992797734701842,0.9527692569068709
197,0.9574781060413481,0.2011329379309138,0.9527692569068709
198,0.9577247419677013,0.2018649339675279,0.9527692569068709
199,0.9590446646374832,0.20131769613593706,0.9527692569068709
200,0.9607437142335888,0.2003269719616526,0.9527692569068709
201,0.9606554495905392,0.19794396507294826,0.9527692569068709
202,0.9583441326548353,0.1990297441282395,0.9527692569068709
203,0.9567397691386572,0.20234106611794336,0.9527692569068709
204,0.9549612666435621,0.20356895688011206,0.9527692569068709
205,0.9556698798917312,0.20211361945703638,0.9527692569068709
206,0.9567711818288211,0.20387806114387405,0.9527692569068709
207,0.9584839834114592,0.2034939897208998,0.9527692569068709
208,0.9590738291049973,0.20428269584004952,0.9527692569068709
209,0.958338728648649,0.20330725135271333,0.9527692569068709
210,0.9548336649841839,0.20261241045757675,0.9527692569068709
211,0.9562183287739231,0.19781702056480852,0.9527692569068709
212,0.9577519993250816,0.20204520418391292,0.9527692569068709
213,0.9567553770338795,0.20048716607661868,0.9527692569068709
214,0.9549217924033392,0.20042219465040637,0.9527692569068709
215,0.9572397825064205,0.20130095134585313,0.9527692569068709
216,0.9558561021034182,0.20374454328251426,0.9527692569068709
217,0.9558195694568052,0.20372460981453847,0.9527692569068709
218,0.9556580508976442,0.2046922859695322,0.9527692569068709
219,0.9575308653121855,0.20382532589556376,0.9527692569068709
220,0.955874043668549,0.20454721652108634,0.9527692569068709
221,0.9544277454806278,0.20559776725433432,0.9527692569068709
222,0.9549326468259856,0.20377266146227394,0.9527692569068709
223,0.9560526695834227,0.205117240377081,0.9527692569068709
224,0.9586724482047441,0.20551746966172135,0.9527692569068709
225,0.9596063509038997,0.20176682745405014,0.9527692569068709
226,0.9579815688036362,0.20158968196635407,0.9527692569068709
227,0.9598871048221279,0.20145405776325492,0.9527692569068709
228,0.9574834051876036,0.2017380701889261,0.9527692569068709
229,0.9578815908148661,0.2026668655251175,0.9527692569068709
230,0.959106267490647,0.20597573633905386,0.9527692569068709
231,0.9576655937233111,0.20345813421476494,0.9527692569068709
232,0.9565195295878056,0.20404940070720715,0.9527692569068709
233,0.958730749712728,0.2018330581623014,0.9527692569068709
234,0.9571566959444382,0.20119054996120114,0.9527692569068709
235,0.9569847307369549,0.2031535154927281,0.9527692569068709
236,0.9578817683290204,0.20279715663334824,0.9527692569068709
237,0.95632092623917,0.20367526288572166,0.9527692569068709
238,0.9574534508967554,0.20349782445795492,0.9527692569068709
239,0.9595561370149848,0.20375093186723522,0.9527692569068709
240,0.9581517889930004,0.204179465720981,0.9527692569068709
241,0.9566988514341264,0.20281049687039399,0.9527692569068709
242,0.9525812286543935,0.20474461738417574,0.9527692569068709
243,0.9548713736682654,0.2036273772044642,0.9527692569068709
244,0.9541636361095954,0.20132903113213804,0.9527692569068709
245,0.9574759859642474,0.2020315288803607,0.9527692569068709
246,0.9569405704079142,0.2034914721564105,0.9527692569068709
247,0.9564871016403701,0.20009552496749328,0.9527692569068709
248,0.9583893503688112,0.20121129263669704,0.9527692569068709
249,0.9552550577077752,0.20340529558128564,0.9527692569068709
250,0.9542574146647717,0.20361917070961874,0.9527692569068709
251,0.9576103091613151,0.20304573172418616,0.9527692569068709
